Id,Project,SATD comment,On-hold or not
1796,Tomcat project,// XXX Should be called 'interval' not defaultInterval,no
1797,Tomcat project,// XXX should be deprecated - just call setInfo,no
1798,Tomcat project,// XXX Shouldn't be here - has nothing to do with buffers.,no
1799,Tomcat project,"// XXX the processor may have set a correct scheme and port prior to this point, // in ajp13 protocols dont make sense to get the port from the connector... // otherwise, use connector configuration",no
1800,Tomcat project,// XXX This should become handleNotification,no
1801,Tomcat project,// XXX This should become handleNotification,no
1802,Tomcat project,// XXX Throw conversion exception !!!,no
1803,Tomcat project,// XXX Update for windows,no
1804,Tomcat project,// XXX we need to better collect all mappings,no
1805,Tomcat project,// XXX we need to better collect all mappings,no
1806,Tomcat project,// XXX we need to better collect all mappings,no
1807,Tomcat project,// XXX we should copy the content to the file,no
1808,Tomcat project,// XXX Why do we have to clone ?,no
1809,Tomcat project,// XXX Will be replaced with notes and (configurable) ids // Each represents a 'chain' - similar with ActionCode in Coyote ( the concepts // will be merged ).,no
1810,Tomcat project,// XXX works only for enc compatible with ASCII/UTF !!!,no
1811,Tomcat project,"// XXX would implement java.io.Serializable too, but can't do that",no
1812,Hadoop project,//CODE-REVIEWER QUESTION: why not task.getConf() or map.getConf() instead of conf? do we need Task's localizeConfiguration() run on this first?,no
1813,Tomcat project,"//fix the synchronization scenario due to //dual comet flags. //while the response/request //might already be recycled, this circumvents the bug //and should not be an expensive operation //however, this is a TODO and FIXME //as it would be better coordinate the recycling of the request/response //instead",no
1814,Camel project,"//FIXME - if not woodstox, this will likely not work well //likely should copy CXF's W3CDOM stuff",no
1815,Hadoop project,"//FIXME (see above) // ignoring overhead due to UberTask and statics as negligible here: // FIXME && (Math.max(memoryPerMap, memoryPerReduce) <= sysMemSizeForUberSlot // || sysMemSizeForUberSlot == JobConf.DISABLED_MEMORY_LIMIT)",no
1816,Tomcat project,//FIXME Exception handling needs to be simpiler to what is in the StandardWrapperValue,no
1817,Hadoop project,"//FIXME: handling multiple reduces within a single AM does not seem to //work. // int sysMaxReduces = // job.conf.getInt(MRJobConfig.JOB_UBERTASK_MAXREDUCES, 1);",no
1818,Hadoop project,//FIXME: race condition here? or do we have same kind of lock on TA handler => MapTask can't send TA_UPDATE before TA_CONTAINER_LAUNCHED moves TA to RUNNING state? (probably latter),no
1819,Gerrit project,//FIXME: This code has to be moved to separate method when patchSetInfo //creation is removed,no
1820,Log4j project,//HACK - fix the way columns are sized..should be saved off and loaded later,no
1821,Log4j project,//HACK - fix the way columns are sized..should be saved off and loaded later,no
1822,Tomcat project,"//hack, somehow this is not being set above",no
1823,Log4j project,//HACK: Category is the last of the internal layers - pass this in as the class name //in order for parsing to work correctly,no
1824,Hadoop project,//host comes from data splitLocations which are hostnames. Containers // use IP addresses. //TODO Temporary fix for locality. Use resolvers from h-common. // Cache to make this more efficient ?,no
1825,Tomcat project,//implement me - here to compile,no
1826,Tomcat project,//implement me - here to compile,no
1827,Tomcat project,"//J5TODO: Should param_annotations be an array of arrays? Rather than an array of lists, this // is more likely to suggest to the caller it is readonly (which a List does not).",no
1828,Tomcat project,"//keepalive connection //TODO - servlet3 check async status, we may just be in a hold pattern",no
1829,Log4j project,//move active file name to min // TODO: compress the currently active file into minIndex,no
1830,Tomcat project,//Not sure how this is really different than none,no
1831,Tomcat project,//piggy back on the request dispatcher to ensure that filters etc get called. //TODO SERVLET3 - async should this be include/forward or a new dispatch type,no
1832,Tomcat project,"//ReferenceType objectref = (ReferenceType) (stack().peek()); // TODO: This can only be checked if using Staerk-et-al's ""set of object types"" instead of a // ""wider cast object type"" created during verification.",no
1833,Tomcat project,"//ReferenceType rFromDesc = (ReferenceType) fromDesc; // TODO: This can only be checked when using Staerk-et-al's ""set of object types"" // instead of a ""wider cast object type"" created during verification.",no
1834,Camel project,//REVISIT we need to disable JSR356 detection for now when using jetty-9.3 when using atmosphere-2.4.x //TODO switch to use contant ApplicationConfig.WEBSOCKET_SUPPRESS_JSR356 aftr atmosphere-2.4.2,yes
1835,Hadoop project,//TBD: Code is not updated to use following keys. //These keys will be used in later versions //,no
1836,Tomcat project,//temporary fix for thread hand off problem,no
1837,Hadoop project,"//The linkCount command is actually a Cygwin shell command, //not a Windows shell command, so we should use ""makeShellPath()"" //instead of ""getCanonicalPath()"". However, that causes another //shell exec to ""cygpath.exe"", and ""stat.exe"" actually can handle //DOS-style paths (it just prints a couple hundred bytes of warning //to stderr), so we use the more efficient ""getCanonicalPath()"".",no
1838,Camel project,//this header can not be set when streaming is used,no
1839,Camel project,"//This method is not used, and will be removed in Camel 3.0",yes
1840,Camel project,"//This method is not used, and will be removed in Camel 3.0",yes
1841,Hadoop project,"//This should not be set here (If an OS check is requied. moved to ContainerLuanch) // env.put(""JVM_PID"", ""`echo $$`"");",no
1842,Tomcat project,//this sucker here dead locks with the count down latch //since this call is blocking if no threads are available. //TODO: FIXME BIG TIME,no
1843,Hadoop project,//TODO //mList.add(append);,no
1844,Camel project,//TODO add the falut message handling work,no
1845,Camel project,//TODO add the fault message handling work,no
1846,Hadoop project,//TODO change this to be random,no
1847,Camel project,//TODO check the CxfEndpoint information integration,no
1848,Camel project,//TODO check this result,no
1849,Camel project,//TODO cmueller: remove the 'dataSourceRef' lookup in Camel 3.0,yes
1850,Camel project,//TODO copy the message header,no
1851,Camel project,//TODO copy the message header into the inMessage,no
1852,Camel project,//TODO copy the right header information,no
1853,Camel project,//TODO copy the right header information,no
1854,Hadoop project,//TODO disable check access for now.,no
1855,Log4j project,"//TODO DO we need this method, I can find no references anywhere, but // left as is since it's such a large method.... // public LoggingEvent getEvent(Vector v) { // Integer ID =",no
1856,Tomcat project,//TODO fix IPv6,no
1857,Camel project,//TODO fix the test failure in no windows box,no
1858,Camel project,//TODO fix this test,no
1859,Tomcat project,//TODO FIXME-- fix - so we can notify of error,no
1860,Hadoop project,//TODO make it private,no
1861,Camel project,//TODO Maybe we should set the exception as the fault message,no
1862,Hadoop project,//TODO mb@media-style.com: should be conf injected?,no
1863,Hadoop project,//TODO Move some of the HistoryServer specific out into a separate configuration class.,no
1864,Hadoop project,//TODO Move these keys to CommonConfigurationKeys,no
1865,Camel project,//TODO Moving Parts from Header to Payload. //For e.g Payload ROuting from SOAP11 <-> SOAP12,no
